"title","feedUrl","htmlUrl"
"News & Updates","http://digitalhps.org/news.xml","http://digitalhps.org/news-updates"
"digitalhumanistbeginner","http://digitalhumanistbeginner.wordpress.com/feed/","http://digitalhumanistbeginner.wordpress.com/"
"Digital Humanities Questions & Answers » Recent Topics","http://digitalhumanities.org/answers/rss/topics/","http://digitalhumanities.org/answers/"
"Digital Living: FIN_IND_USA","http://digitaliving.wordpress.com/feed/","http://digitaliving.wordpress.com/"
"Digital Omnium","http://digitalomnium.com/feed/","http://digitalomnium.com/"
"Digital Scholarship in the Humanities","http://digitalscholarship.wordpress.com/","https://digitalscholarship.wordpress.com/"
"Digital City","http://ditigalcity.tumblr.com/rss","http://ditigalcity.tumblr.com/"
"D-Lab blogs","http://dlab.berkeley.edu/blog/feed","http://dlab.berkeley.edu/blog"
"Douglas Duhaime","http://douglasduhaime.com/?format=rss","http://douglasduhaime.com/"
"dougseefeldt.net","http://dougseefeldt.net/feed","http://dougseefeldt.net/"
"The Dragonfly's Gaze","http://dragonfly.hypotheses.org/feed","http://dragonfly.hypotheses.org/"
"On Digital History","http://drewvandecreek.blogspot.com/feeds/posts/default","http://drewvandecreek.blogspot.com/"
"eagereyes","http://eagereyes.org/feed","https://eagereyes.org/"
"Early Modern News Networks","http://earlymodernnewsnetworks.wordpress.com/feed/","http://earlymodernnewsnetworks.wordpress.com/"
"Early Modern Online Bibliography","http://earlymodernonlinebib.wordpress.com/feed/","http://earlymodernonlinebib.wordpress.com/"
"http://eightandahalfbyeleven.org/","http://eightandahalfbyeleven.org/","http://eightandahalfbyeleven.org/"
"Electric Archaeology","http://electricarchaeologist.wordpress.com/feed/","http://electricarchaeology.ca/"
"Electric Archaeology","http://electricarchaeology.ca/feed/","http://electricarchaeology.ca/"
"Electronic Literature Organization","http://eliterature.org/feed","http://eliterature.org/"
"The Emergence of the Digital Humanities","http://emergenceofdhbook.tumblr.com/rss","http://emergenceofdhbook.tumblr.com/"
"Early Modern Notes","http://emn.sharonhoward.org/feed/","https://earlymodernnotes.wordpress.com/"
"The End of Austin","http://endofaustin.com/feed/","http://endofaustin.com/"
"Elena Pierazzo's Blog","http://epierazzo.blogspot.com/feeds/posts/default","http://epierazzo.blogspot.com/"
"Ernesto Priego","http://epriego.wordpress.com/feed/","https://epriego.wordpress.com/"
"erin n. bush » Digital History","http://erinbush.org/digital-history/feed/","http://erinbush.org/"
"Everybody's Libraries","http://everybodyslibraries.com/feed/","http://everybodyslibraries.com/"
"Digital Experiments in Teaching History","http://experimentsinteachinghistory.blogspot.com/","http://experimentsinteachinghistory.blogspot.com/"
"Lost Worlds: Explorations in Digital Humanities Game Design","http://explorelostworlds.blogspot.com/feeds/posts/default?alt=rss","http://explorelostworlds.blogspot.com/"
"Acephalous","http://feeds.feedburner.com/Acephalous","http://acephalous.typepad.com/acephalous/"
"ActiveHistory.ca","http://feeds.feedburner.com/Activehistoryca","http://activehistory.ca/"
"Strange Maps | Big Think","http://feeds.feedburner.com/bigthink/blogs/strange-maps","http://bigthink.com/blogs/strange-maps"
"Carrie Ida Edinger","http://feeds.feedburner.com/CarrieIdaEdinger","http://carrieidaedinger.blogspot.com/"
"Collaborative Manuscript Transcription","http://feeds.feedburner.com/CollaborativeManuscriptTranscription","http://manuscripttranscription.blogspot.com/"
"Colleen Greene's Blog","http://feeds.feedburner.com/ColleensCommentary","http://www.colleengreene.com/"
"Data Mining: Text Mining, Visualization and Social Media","http://feeds.feedburner.com/DataMining","http://datamining.typepad.com/data_mining/"
"Pastiche","http://feeds.feedburner.com/davelester","http://blog.davelester.org/"
"d i a p s a l m a t a","http://feeds.feedburner.com/diapsalmata","http://blog.whitneyannetrettien.com/"
"Digital scholarship blog","http://feeds.feedburner.com/digital-scholarship","http://britishlibrary.typepad.co.uk/digital-scholarship/"
"Digital Campus","http://feeds.feedburner.com/digitalcampus","http://digitalcampus.tv/"
"Medieval manuscripts blog","http://feeds.feedburner.com/digitisedmanuscripts/","http://britishlibrary.typepad.co.uk/digitisedmanuscripts/"
"eHumanities","http://feeds.feedburner.com/ehumanities","http://www.ehumanities.nl/"
"A Memorable Fancy","http://feeds.feedburner.com/emarsh","http://www.erikmarshall.net/"
"The Infornado","http://feeds.feedburner.com/feedmicah","http://micahvandegrift.wordpress.com/"
"FlowingData","http://feeds.feedburner.com/FlowingData","http://flowingdata.com/"
"Found History","http://feeds.feedburner.com/FoundHistory","http://foundhistory.org/"
"Fresh & New(er)","http://feeds.feedburner.com/freshnew","http://www.freshandnew.org/"
"GoatRock Research","http://feeds.feedburner.com/goatrockresearch/feed","http://goatrockresearch.org/"
"hls","http://feeds.feedburner.com/HackLibSchool","http://hacklibraryschool.com/"
"horothesia","http://feeds.feedburner.com/horothesia","http://horothesia.blogspot.com/"
"Hybrid Pedagogy","http://feeds.feedburner.com/HybridPed","http://www.hybridpedagogy.com/"
"Ian Bogost","http://feeds.feedburner.com/ianbogost","http://bogost.com/"
"Information Is Beautiful","http://feeds.feedburner.com/InformationIsBeautiful","http://www.informationisbeautiful.net/"
"http://feeds.feedburner.com/JasonHeppler","http://feeds.feedburner.com/JasonHeppler","http://jasonheppler.org/"
"jill/txt","http://feeds.feedburner.com/Jilltxt","http://jilltxt.net/"
"Jim Clifford","http://feeds.feedburner.com/JimClifford","http://www.jimclifford.ca/"
